Year,Car,Car SUV,Pickup truck,Van,Truck SUV,AvgFuelEconomy,Automobile_Registrations,Motorcycle_Registrations,Licensed_Drivers,TotalRegistrations,AnnualConsumption(Millions of Gallons)
1995,23.44,17.81,16.89,18.08,16.0,18.44,136066045.0,3767029.0,176628482.0,139833074.0,119400.0
1996,23.33,18.43,17.15,18.34,16.23,18.7,129728341.0,3871237.14,179539340.0,133599578.0,121294.0
1997,23.37,19.23,16.84,18.18,16.13,18.75,129748704.0,3826373.0,182709204.0,133575077.0,122898.0
1998,23.37,18.24,17.0,18.7,16.16,18.69,131838538.0,3879450.0,184860969.0,135717988.0,126525.0
1999,23.0,18.51,16.29,18.28,16.07,18.43,132432044.0,4152433.0,187170420.0,136584477.0,129244.0
2000,22.91,17.89,16.65,18.61,16.01,18.41,133621420.0,4346068.0,190625023.0,137967488.0,130233.0
2001,23.05,18.83,15.95,18.04,16.41,18.46,137633467.0,4903056.0,191275719.0,142536523.0,131992.0
2002,23.08,19.3,15.75,18.7,16.31,18.63,135920677.0,5004156.0,194295633.0,140924833.0,135637.0
2003,23.28,19.91,16.08,18.98,16.42,18.93,135669897.0,5370035.0,196165667.0,141039932.0,136972.0
2004,23.14,19.97,15.74,19.16,16.47,18.9,136430651.0,5780870.0,198888912.0,142211521.0,139968.0
2005,23.49,20.22,15.85,19.3,16.73,19.12,136568083.0,6227146.0,200665267.0,142795229.0,140412.0
2006,23.3,20.45,16.14,19.53,17.16,19.32,135399945.0,6678958.0,202810438.0,142078903.0,141841.0
2007,24.11,20.64,16.17,19.5,17.68,19.62,135932930.0,7138475.79,205741845.0,143071406.0,142349.0
2008,24.27,21.19,16.48,19.82,18.19,19.99,137079843.0,7752925.69,208320601.0,144832769.0,138182.0
2009,25.34,22.04,16.9,20.07,19.28,20.73,134879600.0,7929724.0,209618386.0,142809324.0,137917.0
2010,26.16,23.03,16.85,20.12,19.68,21.17,130892240.0,8009503.0,210114939.25,138901743.0,137857.0
2011,25.82,23.51,17.24,20.95,19.82,21.47,125656528.0,8437502.0,211874649.16,134094030.0,134180.0
2012,27.6,23.29,17.21,21.27,20.01,21.88,111289906.47,8454939.0,211814830.0,119744845.0,133463.0
2013,28.36,24.34,17.47,21.06,20.83,22.41,113676345.0,8404687.0,212159728.0,122081032.0,135563.0
2014,28.39,24.44,18.04,21.27,21.59,22.75,113898844.71,8417717.5,214092471.75,122316562.0,136757.0
2015,29.01,25.14,18.81,21.78,21.94,23.34,112864228.0,8600936.0,218084465.26,121465164.0,140704.0
2016,29.21,26.21,18.92,21.66,22.21,23.64,112961266.0,8679380.0,221994424.0,121640646.0,143222.0
2017,30.18,26.14,18.92,22.23,22.34,23.96,111177029.0,8664108.0,225346257.0,119841137.0,142976.0
2018,30.76,27.33,19.11,22.76,23.13,24.62,111242132.0,8659741.13,227558384.77,119901873.0,143013.0
2019,30.88,27.49,19.03,22.43,23.48,24.66,108547710.0,8596313.89,228679719.17,117144024.0,142712.0
2020,31.73,28.38,19.19,23.35,23.75,25.28,105135300.0,8347435.0,228195802.4,113482735.0,123733.0
2021,31.73,30.5,19.4,26.21,24.0,26.37,102973881.04,9881414.0,232781797.0,112855295.0,135145.0
