Year,Car,Car SUV,Pickup truck,Van,Truck SUV,AvgFuelEconomy
1995,23.44,17.81,16.89,18.08,16.0,18.44
1996,23.33,18.43,17.15,18.34,16.23,18.7
1997,23.37,19.23,16.84,18.18,16.13,18.75
1998,23.37,18.24,17.0,18.7,16.16,18.69
1999,23.0,18.51,16.29,18.28,16.07,18.43
2000,22.91,17.89,16.65,18.61,16.01,18.41
2001,23.05,18.83,15.95,18.04,16.41,18.46
2002,23.08,19.3,15.75,18.7,16.31,18.63
2003,23.28,19.91,16.08,18.98,16.42,18.93
2004,23.14,19.97,15.74,19.16,16.47,18.9
2005,23.49,20.22,15.85,19.3,16.73,19.12
2006,23.3,20.45,16.14,19.53,17.16,19.32
2007,24.11,20.64,16.17,19.5,17.68,19.62
2008,24.27,21.19,16.48,19.82,18.19,19.99
2009,25.34,22.04,16.9,20.07,19.28,20.73
2010,26.16,23.03,16.85,20.12,19.68,21.17
2011,25.82,23.51,17.24,20.95,19.82,21.47
2012,27.6,23.29,17.21,21.27,20.01,21.88
2013,28.36,24.34,17.47,21.06,20.83,22.41
2014,28.39,24.44,18.04,21.27,21.59,22.75
2015,29.01,25.14,18.81,21.78,21.94,23.34
2016,29.21,26.21,18.92,21.66,22.21,23.64
2017,30.18,26.14,18.92,22.23,22.34,23.96
2018,30.76,27.33,19.11,22.76,23.13,24.62
2019,30.88,27.49,19.03,22.43,23.48,24.66
2020,31.73,28.38,19.19,23.35,23.75,25.28
2021,31.73,30.5,19.4,26.21,24.0,26.37
