Year,Automobile_Registrations,Motorcycle_Registrations,Licensed_Drivers,TotalRegistrations
1995,136066045.0,3767029.0,176628482.0,139833074.0
1996,129728341.0,3871237.14,179539340.0,133599578.0
1997,129748704.0,3826373.0,182709204.0,133575077.0
1998,131838538.0,3879450.0,184860969.0,135717988.0
1999,132432044.0,4152433.0,187170420.0,136584477.0
2000,133621420.0,4346068.0,190625023.0,137967488.0
2001,137633467.0,4903056.0,191275719.0,142536523.0
2002,135920677.0,5004156.0,194295633.0,140924833.0
2003,135669897.0,5370035.0,196165667.0,141039932.0
2004,136430651.0,5780870.0,198888912.0,142211521.0
2005,136568083.0,6227146.0,200665267.0,142795229.0
2006,135399945.0,6678958.0,202810438.0,142078903.0
2007,135932930.0,7138475.79,205741845.0,143071406.0
2008,137079843.0,7752925.69,208320601.0,144832769.0
2009,134879600.0,7929724.0,209618386.0,142809324.0
2010,130892240.0,8009503.0,210114939.25,138901743.0
2011,125656528.0,8437502.0,211874649.16,134094030.0
2012,111289906.47,8454939.0,211814830.0,119744845.0
2013,113676345.0,8404687.0,212159728.0,122081032.0
2014,113898844.71,8417717.5,214092471.75,122316562.0
2015,112864228.0,8600936.0,218084465.26,121465164.0
2016,112961266.0,8679380.0,221994424.0,121640646.0
2017,111177029.0,8664108.0,225346257.0,119841137.0
2018,111242132.0,8659741.13,227558384.77,119901873.0
2019,108547710.0,8596313.89,228679719.17,117144024.0
2020,105135300.0,8347435.0,228195802.4,113482735.0
2021,102973881.04,9881414.0,232781797.0,112855295.0
